featureid	Participant_id	AvgSpotLen	Bases	BioSample	Center Name	Collection_Date	Experiment	geo_loc_name	Instrument	LibraryLayout	Organism
SRR25474167	MIC070	602	68750808	SAMN36771269	UNIVERSIDAD DE ANTIOQUIA	31/1/2020	SRX21206430	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474166	MIC071	602	82133870	SAMN36771270	UNIVERSIDAD DE ANTIOQUIA	4/2/2020	SRX21206431	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474165	MIC072	602	92655024	SAMN36771271	UNIVERSIDAD DE ANTIOQUIA	5/2/2020	SRX21206432	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474164	MIC073	602	70989646	SAMN36771272	UNIVERSIDAD DE ANTIOQUIA	6/2/2020	SRX21206433	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474162	MIC076	602	56380310	SAMN36771273	UNIVERSIDAD DE ANTIOQUIA	18/6/2021	SRX21206435	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474161	MIC077	602	61319720	SAMN36771274	UNIVERSIDAD DE ANTIOQUIA	22/6/2021	SRX21206436	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474160	MIC078	602	70551992	SAMN36771275	UNIVERSIDAD DE ANTIOQUIA	15/7/2021	SRX21206437	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474159	MIC079	602	57727586	SAMN36771276	UNIVERSIDAD DE ANTIOQUIA	3/8/2021	SRX21206438	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474158	MIC080	602	70759682	SAMN36771277	UNIVERSIDAD DE ANTIOQUIA	12/8/2021	SRX21206439	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474157	MIC081	602	65771510	SAMN36771278	UNIVERSIDAD DE ANTIOQUIA	12/8/2021	SRX21206440	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474156	MIC082	602	56678300	SAMN36771279	UNIVERSIDAD DE ANTIOQUIA	25/8/2021	SRX21206441	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474155	MIC083	602	58563764	SAMN36771280	UNIVERSIDAD DE ANTIOQUIA	31/8/2021	SRX21206442	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474154	MIC084	602	59748500	SAMN36771281	UNIVERSIDAD DE ANTIOQUIA	2/9/2021	SRX21206443	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474153	MIC085	602	52180758	SAMN36771282	UNIVERSIDAD DE ANTIOQUIA	10/9/2021	SRX21206444	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474151	MIC087	602	57469328	SAMN36771283	UNIVERSIDAD DE ANTIOQUIA	29/11/2021	SRX21206446	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474150	MIC088	602	58250724	SAMN36771284	UNIVERSIDAD DE ANTIOQUIA	29/11/2021	SRX21206447	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474149	MIC090	602	67155508	SAMN36771285	UNIVERSIDAD DE ANTIOQUIA	29/11/2021	SRX21206448	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474148	MIC091	602	61791086	SAMN36771286	UNIVERSIDAD DE ANTIOQUIA	16/12/2021	SRX21206449	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474147	MIC092	602	66227224	SAMN36771287	UNIVERSIDAD DE ANTIOQUIA	27/1/2022	SRX21206450	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474146	MIC093	602	52540152	SAMN36771288	UNIVERSIDAD DE ANTIOQUIA	3/2/2022	SRX21206451	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474145	MIC094	602	61856704	SAMN36771289	UNIVERSIDAD DE ANTIOQUIA	3/2/2022	SRX21206452	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474144	MIC095	602	63414680	SAMN36771290	UNIVERSIDAD DE ANTIOQUIA	4/2/2022	SRX21206453	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474143	MIC096	602	63874006	SAMN36771291	UNIVERSIDAD DE ANTIOQUIA	15/2/2022	SRX21206454	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474142	MIC097	602	66446352	SAMN36771292	UNIVERSIDAD DE ANTIOQUIA	15/2/2022	SRX21206455	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474140	MIC098	602	65188172	SAMN36771293	UNIVERSIDAD DE ANTIOQUIA	9/3/2022	SRX21206457	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474139	MIC099	602	55126344	SAMN36771294	UNIVERSIDAD DE ANTIOQUIA	16/3/2022	SRX21206458	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474138	MIC100	602	55891486	SAMN36771295	UNIVERSIDAD DE ANTIOQUIA	16/3/2022	SRX21206459	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474137	MIC101	602	51994740	SAMN36771296	UNIVERSIDAD DE ANTIOQUIA	26/4/2022	SRX21206460	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474136	MIC102	602	67363800	SAMN36771297	UNIVERSIDAD DE ANTIOQUIA	10/5/2022	SRX21206461	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474135	MIC103	602	57217692	SAMN36771298	UNIVERSIDAD DE ANTIOQUIA	27/5/2022	SRX21206462	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474134	MIC104	602	67086880	SAMN36771299	UNIVERSIDAD DE ANTIOQUIA	27/5/2022	SRX21206463	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474133	MIC105	602	71270178	SAMN36771300	UNIVERSIDAD DE ANTIOQUIA	14/6/2022	SRX21206464	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
